Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A733116,*Sailor,08/17/2016 01:56:00 PM,08/17/2016 01:56:00 PM,5700 N Interstate 35 Frontage Rd in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Blue Tabby/White,*Sailor,11/15/2016 06:16:00 PM,11/15/2016 06:16:00 PM,05/17/2016,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Blue Tabby/White,0.0
A790914,Estrella,03/18/2019 05:41:00 PM,03/18/2019 05:41:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,4 years,German Shepherd,Sable,Estrella,04/27/2019 05:31:00 PM,04/27/2019 05:31:00 PM,03/18/2015,Dog,Spayed Female,4 years,German Shepherd,Sable,0.0
A725855,*Morrison,05/03/2016 02:49:00 PM,05/03/2016 02:49:00 PM,20412 Ed Acklin Rd in Manor (TX),Stray,Normal,Dog,Intact Female,2 years,German Shepherd Mix,Brown Brindle/White,*Morrison,06/24/2016 01:09:00 PM,06/24/2016 01:09:00 PM,05/03/2014,Dog,Spayed Female,2 years,German Shepherd Mix,Brown Brindle/White,0.0
A476706,Rocky,01/06/2015 12:47:00 PM,01/06/2015 12:47:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 years,Doberman Pinsch Mix,Chocolate/Tan,Rocky,01/12/2015 11:32:00 AM,01/12/2015 11:32:00 AM,08/25/2006,Dog,Neutered Male,8 years,Doberman Pinsch Mix,Chocolate/Tan,1.0
A776777,,07/19/2018 07:32:00 AM,07/19/2018 07:32:00 AM,Travis (TX),Stray,Nursing,Dog,Unknown,1 day,Rottweiler Mix,Black,,07/30/2018 04:19:00 PM,07/30/2018 04:19:00 PM,07/18/2018,Dog,Unknown,1 weeks,Rottweiler Mix,Black,0.0
A790207,Ike,05/01/2019 06:55:00 PM,05/01/2019 06:55:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black,Ike,05/04/2019 04:57:00 PM,05/04/2019 04:57:00 PM,03/06/2014,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black,0.0
A698664,Cody,03/15/2015 05:28:00 PM,03/15/2015 05:28:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Chihuahua Longhair Mix,White/Brown,Cody,03/19/2015 11:10:00 AM,03/19/2015 11:10:00 AM,03/15/2013,Dog,Neutered Male,2 years,Chihuahua Longhair Mix,White/Brown,0.0
A692239,Bb,11/17/2014 11:32:00 AM,11/17/2014 11:32:00 AM,13145 Us-183 in Austin (TX),Stray,Normal,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Tortie,Bb,11/17/2014 06:22:00 PM,11/17/2014 06:22:00 PM,11/17/2009,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Tortie,0.0
A713916,Winnie,10/15/2015 09:11:00 AM,10/15/2015 09:11:00 AM,3131 Hwy S 183/Mc Call Rd in Austin (TX),Stray,Injured,Dog,Intact Female,4 years,Chihuahua Shorthair Mix,Liver/Tan,Winnie,10/25/2015 05:42:00 PM,10/25/2015 05:42:00 PM,10/15/2011,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Liver/Tan,0.0
A717912,,12/17/2015 02:20:00 PM,12/17/2015 02:20:00 PM,11717 Schriber Rd in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Chesa Bay Retr Mix,Brown,,12/22/2015 05:17:00 PM,12/22/2015 05:17:00 PM,10/17/2015,Dog,Neutered Male,2 months,Chesa Bay Retr Mix,Brown,0.0
A795202,Clutch,05/17/2019 02:46:00 PM,05/17/2019 02:46:00 PM,729 Airport in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Labrador Retriever/Boxer,Black/White,Clutch,05/25/2019 01:12:00 PM,05/25/2019 01:12:00 PM,09/17/2018,Dog,Neutered Male,8 months,Labrador Retriever/Boxer,Black/White,0.0
A685986,,08/15/2014 01:49:00 PM,08/15/2014 01:49:00 PM,4477 S Lamar Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,9 years,West Highland Mix,White,,08/19/2014 03:42:00 PM,08/19/2014 03:42:00 PM,08/15/2005,Dog,Intact Male,9 years,West Highland Mix,White,1.0
A692124,*Sid,11/14/2014 06:55:00 PM,11/14/2014 06:55:00 PM,Nuckols Crossing Rd And Stassney Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Siberian Husky Mix,Black/Tan,*Sid,11/28/2014 06:48:00 PM,11/28/2014 06:48:00 PM,11/14/2013,Dog,Neutered Male,1 year,Siberian Husky Mix,Black/Tan,0.0
A780786,Bobby,09/20/2018 11:21:00 AM,09/20/2018 11:21:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,Rat Terrier Mix,Tricolor,Bobby,09/22/2018 12:06:00 PM,09/22/2018 12:06:00 PM,04/01/2012,Dog,Neutered Male,6 years,Rat Terrier Mix,Tricolor,0.0
A763564,Cloud,12/11/2017 11:04:00 AM,12/11/2017 11:04:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Tan/White,Cloud,12/13/2017 04:37:00 PM,12/13/2017 04:37:00 PM,10/11/2017,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Tan/White,0.0
A772538,*Ponch,05/20/2018 05:06:00 PM,05/20/2018 05:06:00 PM,12001 Metric Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,*Ponch,06/23/2018 07:04:00 PM,06/23/2018 07:04:00 PM,04/11/2018,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A740378,,12/16/2016 12:16:00 PM,12/16/2016 12:16:00 PM,6111 Fm2244 in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Labrador Retriever Mix,Black,,12/20/2016 06:28:00 PM,12/20/2016 06:28:00 PM,07/01/2016,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black,0.0
A671024,,01/17/2014 01:14:00 PM,01/17/2014 01:14:00 PM,8735 N Lamar Blvd in Austin (TX),Stray,Sick,Cat,Intact Female,1 year,Domestic Longhair Mix,Blue/White,,01/17/2014 06:55:00 PM,01/17/2014 06:55:00 PM,01/17/2013,Cat,Intact Female,1 year,Domestic Longhair Mix,Blue/White,1.0
A801521,,08/05/2019 02:34:00 PM,08/05/2019 02:34:00 PM,1016 South Meadows Drive in Austin (TX),Stray,Nursing,Cat,Intact Female,6 days,Domestic Shorthair,White/Blue,,08/05/2019 07:08:00 PM,08/05/2019 07:08:00 PM,07/30/2019,Cat,Intact Female,6 days,Domestic Shorthair,White/Blue,0.0
A681826,Adelaide,06/20/2014 04:54:00 PM,06/20/2014 04:54:00 PM,7329 Rhett Place in Austin (TX),Owner Surrender,Injured,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Black/White,Adelaide,09/11/2014 01:32:00 PM,09/11/2014 01:32:00 PM,06/20/2012,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Black/White,0.0
A732732,,08/13/2016 11:42:00 AM,08/13/2016 11:42:00 AM,7619 Scenic Brook in Austin (TX),Public Assist,Sick,Cat,Intact Female,1 year,Siamese Mix,Lynx Point,,08/14/2016 12:00:00 AM,08/14/2016 12:00:00 AM,08/12/2015,Cat,Intact Female,1 year,Siamese Mix,Lynx Point,0.0
A737416,,10/27/2016 03:38:00 PM,10/27/2016 03:38:00 PM,Decker Ln And Loyola Ln in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Australian Shepherd Mix,Red/White,,10/27/2016 12:00:00 AM,10/27/2016 12:00:00 AM,08/12/2016,Dog,Intact Male,2 months,Australian Shepherd Mix,Red/White,0.0
A677019,Theo,04/18/2014 12:24:00 PM,04/18/2014 12:24:00 PM,Elizabeth And Brackenridge in Austin (TX),Stray,Normal,Dog,Neutered Male,11 months,Border Collie Mix,Black/White,Theo,04/19/2014 12:27:00 PM,04/19/2014 12:27:00 PM,04/19/2013,Dog,Neutered Male,1 year,Border Collie Mix,Black/White,0.0
A808876,,11/15/2019 02:09:00 PM,11/15/2019 02:09:00 PM,401 Chaparral Rd in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Labrador Retriever,Black/White,,11/19/2019 06:39:00 PM,11/19/2019 06:39:00 PM,06/15/2019,Dog,Spayed Female,5 months,Labrador Retriever,Black/White,0.0
A718025,*Dorian,12/19/2015 04:47:00 PM,12/19/2015 04:47:00 PM,Daisy Dr And Pansy Trail in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue,*Dorian,01/02/2016 06:13:00 PM,01/02/2016 06:13:00 PM,10/04/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue,0.0
A706844,*Frankie,07/04/2015 09:16:00 AM,07/04/2015 09:16:00 AM,7201 Levander Loop in Austin (TX),Stray,Nursing,Dog,Intact Male,0 years,Chihuahua Shorthair Mix,Sable/Black,*Frankie,08/29/2015 05:34:00 PM,08/29/2015 05:34:00 PM,07/04/2015,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Sable/Black,0.0
A780273,,09/12/2018 12:45:00 PM,09/12/2018 12:45:00 PM,1202 Lily Terrace in Austin (TX),Stray,Normal,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Tortie,,12/26/2018 09:23:00 AM,12/26/2018 09:23:00 AM,08/30/2018,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,0.0
A789848,Daisy,02/28/2019 04:01:00 PM,02/28/2019 04:01:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,10 months,Siberian Husky Mix,Cream/White,Daisy,03/06/2019 05:52:00 PM,03/06/2019 05:52:00 PM,04/28/2018,Dog,Spayed Female,10 months,Siberian Husky Mix,Cream/White,0.0
A704201,,06/02/2015 02:31:00 PM,06/02/2015 02:31:00 PM,Bluesky Way in Austin (TX),Stray,Sick,Cat,Intact Female,8 years,Domestic Shorthair Mix,Tortie Point,,06/02/2015 03:24:00 PM,06/02/2015 03:24:00 PM,06/02/2007,Cat,Intact Female,8 years,Domestic Shorthair Mix,Tortie Point,1.0
A716820,*Fantine,11/25/2015 02:21:00 PM,11/25/2015 02:21:00 PM,Taylor Ln And Glass Rd in Manor (TX),Stray,Normal,Dog,Intact Female,2 months,Carolina Dog Mix,Red,*Fantine,12/01/2015 05:52:00 PM,12/01/2015 05:52:00 PM,09/10/2015,Dog,Spayed Female,2 months,Carolina Dog Mix,Red,0.0
A801260,,08/02/2019 10:06:00 AM,08/02/2019 10:06:00 AM,14407 Varrelman in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Ragdoll Mix,Seal Point,,08/07/2019 06:12:00 PM,08/07/2019 06:12:00 PM,06/06/2019,Cat,Spayed Female,2 months,Ragdoll Mix,Seal Point,0.0
A775263,,06/27/2018 11:47:00 AM,06/27/2018 11:47:00 AM,8004 Gault in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby/White,,06/29/2018 09:33:00 AM,06/29/2018 09:33:00 AM,05/27/2018,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby/White,0.0
A688690,,09/22/2014 01:41:00 PM,09/22/2014 01:41:00 PM,4106 N Lamar in Austin (TX),Stray,Sick,Dog,Intact Female,7 years,Cocker Spaniel Mix,Black/White,,09/26/2014 06:43:00 PM,09/26/2014 06:43:00 PM,09/22/2007,Dog,Spayed Female,7 years,Cocker Spaniel Mix,Black/White,0.0
A791457,*Inky,03/23/2019 01:04:00 PM,03/23/2019 01:04:00 PM,833 Fairfield Drive in Austin (TX),Stray,Normal,Cat,Intact Male,0 years,Domestic Shorthair Mix,Black/White,*Inky,06/18/2019 11:50:00 AM,06/18/2019 11:50:00 AM,03/25/2019,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0.0
A758484,Rufus,09/17/2017 04:11:00 PM,09/17/2017 04:11:00 PM,1301 Quailfield in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Australian Cattle Dog/Pointer,White/Tan,Rufus,10/19/2018 01:23:00 PM,10/19/2018 01:23:00 PM,09/17/2014,Dog,Neutered Male,4 years,Australian Cattle Dog/Pointer,White/Tan,0.0
A702199,,05/10/2015 03:28:00 PM,05/10/2015 03:28:00 PM,4718 Us-183 in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,German Shepherd/Labrador Retriever,Sable/White,,05/14/2015 05:04:00 PM,05/14/2015 05:04:00 PM,02/27/2015,Dog,Neutered Male,2 months,German Shepherd/Labrador Retriever,Sable/White,0.0
A794956,,05/14/2019 01:58:00 PM,05/14/2019 01:58:00 PM,8930 Collinfield in Austin (TX),Stray,Nursing,Cat,Intact Female,1 year,Domestic Shorthair,Blue,,05/23/2019 12:00:00 AM,05/23/2019 12:00:00 AM,05/14/2018,Cat,Intact Female,1 year,Domestic Shorthair,Blue,0.0
A735480,*Mila,09/24/2016 12:21:00 PM,09/24/2016 12:21:00 PM,913 N Meadows Dr #B in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black,*Mila,10/10/2016 04:13:00 PM,10/10/2016 04:13:00 PM,09/24/2014,Dog,Intact Female,2 years,Labrador Retriever Mix,Black,0.0
A718663,,01/04/2016 02:29:00 PM,01/04/2016 02:29:00 PM,12621 Hymeadow Rd in Austin (TX),Public Assist,Normal,Other,Unknown,1 year,Turtle Mix,Brown,,01/12/2016 01:18:00 PM,01/12/2016 01:18:00 PM,01/04/2015,Other,Unknown,1 year,Turtle Mix,Brown,0.0
A739417,*Tot,12/02/2016 02:00:00 PM,12/02/2016 02:00:00 PM,6719 N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Dachshund,Brown,*Tot,12/20/2016 11:03:00 PM,12/20/2016 11:03:00 PM,10/18/2016,Dog,Neutered Male,2 months,Dachshund,Brown,0.0
A598004,Hopper,11/17/2016 11:34:00 AM,11/17/2016 11:34:00 AM,Teri Rd And Lark Creek Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Brown,Hopper,11/18/2016 12:22:00 PM,11/18/2016 12:22:00 PM,01/18/2011,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Brown,0.0
A806750,Luna Blue,10/21/2019 11:25:00 AM,10/21/2019 11:25:00 AM,9400 East Hunters Trace in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,German Shepherd/Siberian Husky,Black/Cream,Luna Blue,10/28/2019 05:21:00 PM,10/28/2019 05:21:00 PM,04/24/2019,Dog,Spayed Female,6 months,German Shepherd/Siberian Husky,Black/Cream,0.0
A719428,Candy,03/05/2016 04:35:00 PM,03/05/2016 04:35:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Female,3 years,Lhasa Apso Mix,Black/White,Candy,03/14/2016 03:02:00 PM,03/14/2016 03:02:00 PM,01/19/2013,Dog,Intact Female,3 years,Lhasa Apso Mix,Black/White,0.0
A702877,,05/18/2015 04:59:00 PM,05/18/2015 04:59:00 PM,5107 Regency Dr in Austin (TX),Stray,Injured,Dog,Intact Female,1 month,Pointer Mix,Black/White,,05/29/2015 03:32:00 PM,05/29/2015 03:32:00 PM,03/18/2015,Dog,Intact Female,2 months,Pointer Mix,Black/White,0.0
A675990,Pixie,04/02/2014 06:34:00 PM,04/02/2014 06:34:00 PM,Manor Rd And Rogge Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,7 years,Australian Shepherd Mix,Tricolor,Pixie,04/03/2014 01:41:00 PM,04/03/2014 01:41:00 PM,04/02/2007,Dog,Spayed Female,7 years,Australian Shepherd Mix,Tricolor,0.0
A667383,Olympus,11/17/2013 11:27:00 AM,11/17/2013 11:27:00 AM,8140 Exchange Dr in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Pit Bull Mix,White/Tan,Olympus,11/23/2013 03:09:00 PM,11/23/2013 03:09:00 PM,09/02/2013,Dog,Neutered Male,2 months,Pit Bull Mix,White/Tan,0.0
A621360,Phantom,09/11/2014 11:33:00 AM,09/11/2014 11:33:00 AM,Manor (TX),Owner Surrender,Normal,Dog,Neutered Male,9 years,Pit Bull Mix,Brown Brindle/White,Phantom,09/22/2014 12:43:00 PM,09/22/2014 12:43:00 PM,03/05/2005,Dog,Neutered Male,9 years,Pit Bull Mix,Brown Brindle/White,0.0
A681241,Simon,06/14/2014 11:19:00 AM,06/14/2014 11:19:00 AM,1300 E M Franklin in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Snowshoe Mix,Lynx Point/White,Simon,06/30/2014 06:30:00 PM,06/30/2014 06:30:00 PM,04/22/2014,Cat,Neutered Male,2 months,Snowshoe Mix,Lynx Point/White,0.0
A735044,*Cupcake,12/29/2016 01:05:00 PM,12/29/2016 01:05:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,Blue,*Cupcake,12/27/2016 02:19:00 PM,12/27/2016 02:19:00 PM,04/07/2010,Dog,Spayed Female,6 years,Pit Bull Mix,Blue,0.0
A706024,*Martin,06/23/2015 04:40:00 PM,06/23/2015 04:40:00 PM,103 Lakeway Dr in Lakeway (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Orange Tabby,*Martin,07/04/2015 10:32:00 AM,07/04/2015 10:32:00 AM,05/04/2015,Cat,Neutered Male,1 month,Domestic Medium Hair Mix,Orange Tabby,0.0
A797573,Pashmak,06/26/2019 12:27:00 PM,06/26/2019 12:27:00 PM,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Chihuahua Shorthair,Tricolor/Brown,Pashmak,07/10/2019 04:45:00 PM,07/10/2019 04:45:00 PM,06/14/2018,Dog,Neutered Male,1 year,Chihuahua Shorthair,Tricolor/Brown,0.0
A703777,Whisper,05/28/2015 05:29:00 PM,05/28/2015 05:29:00 PM,4800 Manor Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black Smoke,Whisper,03/11/2016 11:10:00 AM,03/11/2016 11:10:00 AM,04/21/2015,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Black Smoke,0.0
A713174,,10/03/2015 12:39:00 PM,10/03/2015 12:39:00 PM,1922 Wickersham Ln in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,,10/04/2015 09:00:00 AM,10/04/2015 09:00:00 AM,10/03/2014,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,0.0
A669792,,12/27/2013 12:46:00 PM,12/27/2013 12:46:00 PM,8702 Brookfield Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby/White,,12/28/2013 04:22:00 PM,12/28/2013 04:22:00 PM,12/27/2012,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby/White,0.0
A752502,,06/23/2017 11:10:00 AM,06/23/2017 11:10:00 AM,399 West 22Nd in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/White,,07/06/2017 06:28:00 PM,07/06/2017 06:28:00 PM,04/16/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,0.0
A775420,,06/29/2018 04:00:00 PM,06/29/2018 04:00:00 PM,10101 Gail Road in Austin (TX),Stray,Normal,Cat,Intact Male,3 years,Domestic Shorthair Mix,Lilac Point,,07/02/2018 06:13:00 PM,07/02/2018 06:13:00 PM,06/29/2015,Cat,Intact Male,3 years,Domestic Shorthair Mix,Lilac Point,0.0
A684586,Champ,07/25/2014 05:30:00 PM,07/25/2014 05:30:00 PM,11537 Arbroath in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Great Pyrenees/Alaskan Husky,White/Tan,Champ,07/29/2014 05:29:00 PM,07/29/2014 05:29:00 PM,05/25/2014,Dog,Neutered Male,2 months,Great Pyrenees/Alaskan Husky,White/Tan,0.0
A705001,Tony,06/11/2015 04:52:00 PM,06/11/2015 04:52:00 PM,14100 Sleepy Hollow Dr in Travis (TX),Stray,Normal,Dog,Intact Male,5 years,English Bulldog,White,Tony,06/27/2015 11:40:00 AM,06/27/2015 11:40:00 AM,06/11/2010,Dog,Intact Male,5 years,English Bulldog,White,0.0
A794080,,05/03/2019 04:28:00 PM,05/03/2019 04:28:00 PM,701 Woodward Street in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Tortie,,05/03/2019 05:22:00 PM,05/03/2019 05:22:00 PM,04/18/2019,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Tortie,0.0
A805360,,09/25/2019 06:13:00 PM,09/25/2019 06:13:00 PM,929 E 56Th Street in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Cream Tabby,,09/29/2019 01:19:00 PM,09/29/2019 01:19:00 PM,09/25/2017,Cat,Intact Male,2 years,Domestic Shorthair,Cream Tabby,0.0
A695243,*Cielo,01/11/2015 06:06:00 PM,01/11/2015 06:06:00 PM,Metric & Braker in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Tan/White,*Cielo,01/17/2015 02:12:00 PM,01/17/2015 02:12:00 PM,11/16/2014,Dog,Neutered Male,2 months,Labrador Retriever Mix,Tan/White,0.0
A793358,,04/23/2019 06:33:00 PM,04/23/2019 06:33:00 PM,6109 Shumard Oaks Trail in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue/Tortie,,04/24/2019 01:49:00 PM,04/24/2019 01:49:00 PM,03/15/2019,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue/Tortie,0.0
A718074,*Lucy,12/21/2015 07:52:00 AM,12/21/2015 07:52:00 AM,Sprinkle Cutoff/ Samsung in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Brown/Black,*Lucy,12/27/2015 06:59:00 PM,12/27/2015 06:59:00 PM,06/21/2014,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown/Black,0.0
A807113,,10/20/2019 09:41:00 PM,10/20/2019 09:41:00 PM,9300 Colberg Dr in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Bat Mix,Brown/Black,,10/22/2019 07:22:00 AM,10/22/2019 07:22:00 AM,10/20/2017,Other,Unknown,2 years,Bat Mix,Brown/Black,1.0
